categoria_grupo,categoria_subgrupo,categoria_item,categoria_subitem
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Abobrinha"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Batata-doce"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Batata-inglesa"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Cebola"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Cenoura"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Chuchu"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Inhame"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Mandioca (aipim)"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Mandioquinha (batata-baroa)"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Pepino"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Pimentão"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Quiabo"
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Tomate"
